num_atoms,volume,density,a,b,c,bulk_modulus
1,46.20598738602439,8.157868492143749,4.0278299,4.02782923,4.02782982,23.574
4,184.54540055274566,8.170181809263882,4.04604073,4.0460408,13.01703648,24.648
4,110.15736887970192,11.367264383936146,5.38075045,5.38075045,5.38075045,67.493
4,135.91761188106213,8.37029264782171,5.77116615,5.771166149999999,5.77116615,42.615
4,113.97907921296381,8.598305212647762,5.44226954,5.44226954,5.44226954,54.864
4,104.09551473414989,11.322189953946346,5.28018337,5.2801833700000005,5.28018337,68.935
4,114.83417837358088,9.154250745371659,5.45114982,5.45808275,5.45532695,56.205
4,124.868213120418,9.670946647776045,5.61032978,5.61032976,5.61032987,47.445
4,109.29400728225866,12.81075965107542,5.36665557,5.36665777,5.3666563,75.286
4,104.78546478242384,11.927065894203809,5.29182346,5.29182346,5.29182346,77.317
4,138.10861759252003,7.178167079741778,5.80201159,5.802011590000001,5.80201159,38.111
4,100.33145464384104,11.66664296299903,5.21573478,5.21573486,5.21573486,71.229
5,91.51122376685493,9.10912988937034,4.09548748,4.09548852,6.29988201,101.296
4,117.74691816805905,9.576407671205946,5.49964703,5.5029879799999994,5.50215672,56.494
4,123.04899745718672,9.212666194528888,5.58295798,5.58295798,5.58295798,49.655
4,134.6881234799131,9.533838833142115,5.753711740000001,5.753711740000001,5.75371174,45.028
4,117.91635136067208,8.337439921355225,5.504227089999999,5.50422709,5.50422709,47.092
8,350.67157130290013,7.815555605047961,7.99413076,7.994126720000001,6.33618363,26.403
8,353.3404699864622,7.725182252242523,8.010204399999997,8.010201,6.35880548,25.621
2,61.529374998134905,9.037337516523966,3.94785174,3.94785174,3.94785174,43.963
4,100.8440751206717,9.245002060744525,5.22462505,5.22462505,5.22462505,60.159
4,97.53764174991905,12.40754926526788,5.16688842,5.166888420000001,5.16688842,66.953
4,107.77042106409583,11.34111549941262,5.341602,5.341601999999999,5.341602,52.065
8,196.3033251946236,5.209836003465357,6.98068341,6.98069108,4.6515836,58.815
8,194.6484075115201,13.954950213002274,6.922866639999999,6.92286739,4.68973519,74.927
8,272.9289467717325,5.679086217131568,8.1682635,8.16826457,4.72345121,24.348
4,100.77617120682481,9.147439674180925,5.22345211,5.22345211,5.22345211,52.821
4,82.22354240107727,11.010987921420886,4.8809429,4.8809429,4.8809429,93.343
8,234.33710795586603,4.724438637182092,7.69563581,7.695635229999999,4.56900298,27.477
6,129.21320315269972,7.156870625490386,4.25922539,4.25922539,7.12271631,62.71
5,59.92938665681022,9.380470951180392,3.91333125,3.91333125,3.91333125,163.571
4,135.82559624633654,8.909680608620562,5.140364,5.140364,5.140364,37.45
4,53.62721721621402,8.79376490906826,4.39903509,4.39903509,4.39903509,114.006
8,187.85316041036705,7.711083098837198,6.86337082,6.86337059,4.60482279,58.767
3,51.77437558894413,7.3451357320531585,4.18353403,4.18353375,4.18353428,55.135
4,49.06571600015132,7.784733843301983,4.10926718,4.10926718,4.10926718,69.171
8,223.9311867964455,12.291320238478482,7.12952669,7.12952595,5.08715551,46.985
4,100.82643247794357,13.529897201997876,5.22432035,5.22432035,5.22432035,61.312
8,465.63641604952096,4.334419840153894,11.0362211,11.03621873,4.41444,2.551
4,100.92907640421137,12.10497067027923,5.2260925799999995,5.2260925799999995,5.22609258,66.843
4,157.34157794546013,6.7936032043637375,6.57927284,6.579272839999999,6.57927284,25.05
2,70.38999451649856,5.928424537909717,4.124681739999999,4.1345363,5.83167916,30.934
4,114.10199560545334,4.364696447354155,5.44220778,5.442207780000001,5.44220778,34.101
4,110.98051383424432,7.124020766821459,5.39411966,5.39411966,5.39411966,43.051
4,109.3862687671457,9.905053409315025,5.36816598,5.36816598,5.36816598,48.779
4,118.79228370127869,9.226817146143778,5.51782272,5.517822720000001,5.51782272,39.982
4,99.88023489335038,8.013618342984604,4.28027796,4.28027824,6.29513537,77.703
3,52.59363335392732,8.27205805039378,4.20548482,4.20548417,4.20548509,106.534
