CSD_code;Electronic_E;Dispersion_E;Dipole_M;Metal_q;HL_Gap;HOMO_Energy;LUMO_Energy;Polarizability
WIXKOE;-2045.524942;-0.239239;4.233300;2.109340;0.131080;-0.162040;-0.030960;598.457913
DUCVIG;-2430.690317;-0.082134;11.754400;0.759940;0.124930;-0.243580;-0.118650;277.750698
KINJOG;-3467.923206;-0.137954;8.301700;1.766500;0.140140;-0.236460;-0.096320;393.442545
GEKYEC;-3657.137747;-0.073924;3.044800;1.171860;0.138650;-0.267650;-0.129000;266.725736
PIBNEV;-1184.911899;-0.132369;2.776000;1.926420;0.106410;-0.151640;-0.045230;342.341585
ILOJOK;-3314.579807;-0.287378;2.947000;1.777290;0.092470;-0.175080;-0.082610;726.729174
UKOQAN;-2655.903876;-0.152010;2.190200;1.508380;0.093010;-0.175400;-0.082390;432.393719
ATECUZ;-1534.666911;-0.133904;8.374900;1.935060;0.175680;-0.159070;0.016610;380.189810
UROBOU;-2893.652141;-0.196341;10.994400;1.310510;0.080370;-0.151170;-0.070800;522.566274
OBIQAS;-2182.364646;-0.165425;13.242500;0.953560;0.094080;-0.300510;-0.206430;463.072163
ZOBPEN;-2252.596426;-0.263845;4.683900;1.923930;0.103490;-0.153610;-0.050120;630.762664
KETHAV;-1085.624629;-0.106185;1.827600;1.893560;0.156420;-0.183560;-0.027140;303.843529
RUXTAH;-3916.912886;-0.290756;3.262200;1.120290;0.121160;-0.172080;-0.050920;681.659139
DARXOL;-1915.106941;-0.148912;0.959800;1.964230;0.097100;-0.162040;-0.064940;434.240120
ZAVPIY;-4646.201783;-0.421773;4.880500;1.377250;0.126660;-0.172180;-0.045520;965.159741
KABCEW;-2797.728134;-0.257260;4.899400;1.866380;0.114420;-0.190870;-0.076450;637.350049
WOLRIA;-1934.263822;-0.143611;3.585600;1.734670;0.131990;-0.174110;-0.042120;381.808553
GACJAW;-1999.074241;-0.205098;7.373400;1.779090;0.122990;-0.184050;-0.061060;511.174137
YIXHOE;-3380.956110;-0.180335;4.109900;1.161900;0.128140;-0.187420;-0.059280;570.504772
VAQFAX;-3381.587804;-0.262134;10.824700;1.394780;0.110340;-0.269400;-0.159060;638.486122
LURLUG;-2353.577963;-0.122106;4.262600;1.405650;0.145950;-0.192250;-0.046300;355.724755
EGEKIL;-3495.215389;-0.218088;3.160900;0.761480;0.117580;-0.166730;-0.049150;540.784144
TEQTAL;-2957.099373;-0.144979;9.028900;1.610290;0.161270;-0.197660;-0.036390;418.165864
LURKIT;-2083.325360;-0.086932;5.229300;1.322290;0.152180;-0.195360;-0.043180;281.770044
RAKKAS;-1101.964833;-0.127823;1.260300;2.051670;0.116940;-0.152720;-0.035780;338.668258
PIXGUZ;-2801.904824;-0.207864;5.863200;1.454860;0.116740;-0.179980;-0.063240;525.683935
BUQHIF;-2163.198924;-0.210461;5.497000;1.861230;0.123600;-0.196450;-0.072850;558.799426
XIQJEM;-3155.467375;-0.195567;4.432700;0.898680;0.130630;-0.204530;-0.073900;470.745161
UDAZUW;-2548.494739;-0.170035;6.272900;0.751550;0.123400;-0.159880;-0.036480;480.732828
DUDTIH;-2620.497003;-0.144442;0.040300;0.966400;0.069650;-0.184290;-0.114640;451.568946
UGEBEO;-3053.451555;-0.217075;2.833400;1.522940;0.117090;-0.189300;-0.072210;571.489065
TATTIS;-2120.246977;-0.116202;0.091100;1.338670;0.260770;-0.357980;-0.097210;319.445027
HUVRIA;-2715.836399;-0.170514;6.004600;1.463100;0.109600;-0.184460;-0.074860;463.242364
NEVXAN;-1427.459499;-0.137329;4.460600;1.724620;0.164090;-0.179290;-0.015200;373.635702
QEJFOC;-1930.670378;-0.233760;4.731000;1.846020;0.102100;-0.150170;-0.048070;546.259256
BABNOI;-2819.479387;-0.209361;6.124100;1.863340;0.039750;-0.159370;-0.119620;567.004661
PUJCAY;-1949.323047;-0.080806;0.857700;1.513860;0.169900;-0.326560;-0.156660;251.765532
PIHCEQ;-2747.712812;-0.208975;5.654400;1.516710;0.178810;-0.199370;-0.020560;548.653777
