,num_neighbors,nearest_neighbor_dist,average_dist,metal_atomic_number,metal_atomic_radius_rahm,metal_atomic_radius,metal_atomic_volume,metal_covalent_radius_cordero,metal_electron_affinity,metal_electronegativity_allen,metal_electronegativity_mulliken,metal_electrophilicity,metal_hardness,metal_mendeleev_number,metal_nvalence,metal_proton_affinity,metal_softness,metal_vdw_radius,metal_oxistate,metal_ion_energy_1,metal_ion_energy_2,metal_ion_energy_3,closest_neighbor_atomic_number,closest_neighbor_atomic_radius_rahm,closest_neighbor_atomic_radius,closest_neighbor_atomic_volume,closest_neighbor_covalent_radius_cordero,closest_neighbor_electron_affinity,closest_neighbor_electronegativity_allen,closest_neighbor_electronegativity_mulliken,closest_neighbor_electrophilicity,closest_neighbor_hardness,closest_neighbor_mendeleev_number,closest_neighbor_nvalence,closest_neighbor_proton_affinity,closest_neighbor_softness,closest_neighbor_vdw_radius,closest_neighbor_oxistate,closest_neighbor_ion_energy_1,closest_neighbor_ion_energy_2,closest_neighbor_ion_energy_3
0,5,76.37615221399723,78.1079445089988,57,284.0,195.0,22.5,206.99999999999997,0.47,,3.02345,0.894990101871977,2.55345,13,3,1013.0,0.1958135072157277,243.00000000000003,3,5.5769,11.18492,19.1773,8,171.0,60.0,14.0,66.0,1.4611135,21.36,7.53958375,2.337978174823841,6.0784702500000005,99,6,485.2,0.08225753839956688,152.0,-2,13.618054,35.12111,54.93554
1,12,73.65724380656019,75.68296647246886,21,263.0,160.0,15.0,170.0,0.188,7.042000000000001,3.374745,0.8934589851890408,3.186745,11,3,914.0,0.15689990884115296,215.0,3,6.56149,12.79977,24.756838,7,179.0,65.0,17.3,71.0,-1.4,18.13,6.5670649999999995,1.353269450990578,7.967065,93,5,342.2,0.06275836835773274,155.0,-3,14.53413,29.60125,47.4453
2,10,51.353207158383455,53.89333622438188,57,284.0,195.0,22.5,206.99999999999997,0.47,,3.02345,0.894990101871977,2.55345,13,3,1013.0,0.1958135072157277,243.00000000000003,3,5.5769,11.18492,19.1773,8,171.0,60.0,14.0,66.0,1.4611135,21.36,7.53958375,2.337978174823841,6.0784702500000005,99,6,485.2,0.08225753839956688,152.0,-2,13.618054,35.12111,54.93554
3,7,75.94327144344624,77.93174240294623,21,263.0,160.0,15.0,170.0,0.188,7.042000000000001,3.374745,0.8934589851890408,3.186745,11,3,914.0,0.15689990884115296,215.0,3,6.56149,12.79977,24.756838,8,171.0,60.0,14.0,66.0,1.4611135,21.36,7.53958375,2.337978174823841,6.0784702500000005,99,6,485.2,0.08225753839956688,152.0,-2,13.618054,35.12111,54.93554
4,1,82.32008169267715,82.32008169267715,39,274.0,180.0,19.8,190.0,0.307,6.631,3.26213,0.9002558378903806,2.9551299999999996,12,3,967.0,0.16919729419687124,231.99999999999997,3,6.21726,12.224,20.52441,6,190.0,70.0,5.3,73.0,1.262119,15.05,6.2612075,1.960493365843406,4.9990885,87,4,,0.10001823332393495,170.0,-4,11.260296,24.3845,47.88778
5,9,61.16621942840725,63.37476506515283,39,274.0,180.0,19.8,190.0,0.307,6.631,3.26213,0.9002558378903806,2.9551299999999996,12,3,967.0,0.16919729419687124,231.99999999999997,3,6.21726,12.224,20.52441,7,179.0,65.0,17.3,71.0,-1.4,18.13,6.5670649999999995,1.353269450990578,7.967065,93,5,342.2,0.06275836835773274,155.0,-3,14.53413,29.60125,47.4453
6,5,73.84876999047431,76.07503703598084,21,263.0,160.0,15.0,170.0,0.188,7.042000000000001,3.374745,0.8934589851890408,3.186745,11,3,914.0,0.15689990884115296,215.0,3,6.56149,12.79977,24.756838,6,190.0,70.0,5.3,73.0,1.262119,15.05,6.2612075,1.960493365843406,4.9990885,87,4,,0.10001823332393495,170.0,-4,11.260296,24.3845,47.88778
7,7,75.84194331920965,77.7342261480226,39,274.0,180.0,19.8,190.0,0.307,6.631,3.26213,0.9002558378903806,2.9551299999999996,12,3,967.0,0.16919729419687124,231.99999999999997,3,6.21726,12.224,20.52441,7,179.0,65.0,17.3,71.0,-1.4,18.13,6.5670649999999995,1.353269450990578,7.967065,93,5,342.2,0.06275836835773274,155.0,-3,14.53413,29.60125,47.4453
8,3,72.75274360348538,73.29766364706387,21,263.0,160.0,15.0,170.0,0.188,7.042000000000001,3.374745,0.8934589851890408,3.186745,11,3,914.0,0.15689990884115296,215.0,3,6.56149,12.79977,24.756838,6,190.0,70.0,5.3,73.0,1.262119,15.05,6.2612075,1.960493365843406,4.9990885,87,4,,0.10001823332393495,170.0,-4,11.260296,24.3845,47.88778
9,8,70.75265250160017,73.23411060137435,57,284.0,195.0,22.5,206.99999999999997,0.47,,3.02345,0.894990101871977,2.55345,13,3,1013.0,0.1958135072157277,243.00000000000003,3,5.5769,11.18492,19.1773,53,238.0,140.0,25.7,139.0,3.0590368,13.95,6.7551483999999995,3.0864889135126865,3.6961116,109,7,608.2,0.1352773006096461,198.0,-1,10.45126,19.13126,29.57
