,CSD_code,Electronic_E,Dispersion_E,Dipole_M,Metal_q,HL_Gap,HOMO_Energy,LUMO_Energy,Polarizability
0,WIXKOE,-2045.524942,-0.239239,4.2333,2.10934,0.13108,-0.16204,-0.03096,598.457913
1,DUCVIG,-2430.690317,-0.082134,11.7544,0.75994,0.12493,-0.24358,-0.11865,277.750698
2,KINJOG,-3467.923206,-0.137954,8.3017,1.7665,0.14014,-0.23646,-0.09632,393.442545
3,GEKYEC,-3657.137747,-0.073924,3.0448,1.17186,0.13865,-0.26765,-0.129,266.725736
4,PIBNEV,-1184.911899,-0.132369,2.776,1.92642,0.10641,-0.15164,-0.04523,342.341585
5,ILOJOK,-3314.579807,-0.287378,2.947,1.77729,0.09247,-0.17508,-0.08261,726.729174
6,UKOQAN,-2655.903876,-0.15201,2.1902,1.50838,0.09301,-0.1754,-0.08239,432.393719
7,ATECUZ,-1534.666911,-0.133904,8.3749,1.93506,0.17568,-0.15907,0.01661,380.18981
8,UROBOU,-2893.652141,-0.196341,10.9944,1.31051,0.08037,-0.15117,-0.0708,522.566274
9,OBIQAS,-2182.364646,-0.165425,13.2425,0.95356,0.09408,-0.30051,-0.20643,463.072163
10,ZOBPEN,-2252.596426,-0.263845,4.6839,1.92393,0.10349,-0.15361,-0.05012,630.762664
11,KETHAV,-1085.624629,-0.106185,1.8276,1.89356,0.15642,-0.18356,-0.02714,303.843529
12,RUXTAH,-3916.912886,-0.290756,3.2622,1.12029,0.12116,-0.17208,-0.05092,681.659139
13,DARXOL,-1915.106941,-0.148912,0.9598,1.96423,0.0971,-0.16204,-0.06494,434.24012
14,ZAVPIY,-4646.201783,-0.421773,4.8805,1.37725,0.12666,-0.17218,-0.04552,965.159741
15,KABCEW,-2797.728134,-0.25726,4.8994,1.86638,0.11442,-0.19087,-0.07645,637.350049
16,WOLRIA,-1934.263822,-0.143611,3.5856,1.73467,0.13199,-0.17411,-0.04212,381.808553
17,GACJAW,-1999.074241,-0.205098,7.3734,1.77909,0.12299,-0.18405,-0.06106,511.174137
18,YIXHOE,-3380.95611,-0.180335,4.1099,1.1619,0.12814,-0.18742,-0.05928,570.504772
19,VAQFAX,-3381.587804,-0.262134,10.8247,1.39478,0.11034,-0.2694,-0.15906,638.486122
20,LURLUG,-2353.577963,-0.122106,4.2626,1.40565,0.14595,-0.19225,-0.0463,355.724755
21,EGEKIL,-3495.215389,-0.218088,3.1609,0.76148,0.11758,-0.16673,-0.04915,540.784144
22,TEQTAL,-2957.099373,-0.144979,9.0289,1.61029,0.16127,-0.19766,-0.03639,418.165864
23,LURKIT,-2083.32536,-0.086932,5.2293,1.32229,0.15218,-0.19536,-0.04318,281.770044
24,RAKKAS,-1101.964833,-0.127823,1.2603,2.05167,0.11694,-0.15272,-0.03578,338.668258
25,PIXGUZ,-2801.904824,-0.207864,5.8632,1.45486,0.11674,-0.17998,-0.06324,525.683935
26,BUQHIF,-2163.198924,-0.210461,5.497,1.86123,0.1236,-0.19645,-0.07285,558.799426
27,XIQJEM,-3155.467375,-0.195567,4.4327,0.89868,0.13063,-0.20453,-0.0739,470.745161
28,UDAZUW,-2548.494739,-0.170035,6.2729,0.75155,0.1234,-0.15988,-0.03648,480.732828
29,DUDTIH,-2620.497003,-0.144442,0.0403,0.9664,0.06965,-0.18429,-0.11464,451.568946
30,UGEBEO,-3053.451555,-0.217075,2.8334,1.52294,0.11709,-0.1893,-0.07221,571.489065
31,TATTIS,-2120.246977,-0.116202,0.0911,1.33867,0.26077,-0.35798,-0.09721,319.445027
32,HUVRIA,-2715.836399,-0.170514,6.0046,1.4631,0.1096,-0.18446,-0.07486,463.242364
33,NEVXAN,-1427.459499,-0.137329,4.4606,1.72462,0.16409,-0.17929,-0.0152,373.635702
34,QEJFOC,-1930.670378,-0.23376,4.731,1.84602,0.1021,-0.15017,-0.04807,546.259256
35,BABNOI,-2819.479387,-0.209361,6.1241,1.86334,0.03975,-0.15937,-0.11962,567.004661
36,PUJCAY,-1949.323047,-0.080806,0.8577,1.51386,0.1699,-0.32656,-0.15666,251.765532
37,PIHCEQ,-2747.712812,-0.208975,5.6544,1.51671,0.17881,-0.19937,-0.02056,548.653777
38,NAPKEW,-1681.969504,-0.154646,4.9396,1.93487,0.09738,-0.16418,-0.0668,429.422193
39,MUBQEH,-2714.782482,-0.128666,5.9346,1.39152,0.14365,-0.18167,-0.03802,365.005645
40,DIFTIY,-3596.859292,-0.265391,9.2759,1.32747,0.11425,-0.17854,-0.06429,651.025358
41,FEKQEU,-5089.111357,-0.192483,8.0428,1.31223,0.08387,-0.21036,-0.12649,545.41398
42,ZIGLAF,-2250.885146,-0.168099,4.0119,1.96245,0.13327,-0.16618,-0.03291,464.698333
43,MAHYEB,-2331.656322,-0.158435,3.6071,1.97695,0.13229,-0.18366,-0.05137,456.360012
44,ACUGOV,-1969.533765,-0.104908,9.4608,1.57754,0.12249,-0.24278,-0.12029,356.135331
45,MIDNAO,-2568.495598,-0.10882,1.2004,0.94005,0.12861,-0.17847,-0.04986,295.377364
46,IJAZEZ,-1249.567745,-0.135456,5.157,1.87443,0.1353,-0.20394,-0.06864,382.351839
47,CAVYOO,-2720.926343,-0.127098,10.7981,1.54412,0.16521,-0.19172,-0.02651,375.786381
48,GOHPOJ,-2691.005537,-0.121161,1.9966,1.76764,0.08772,-0.20518,-0.11746,411.308536
49,NOLQIP,-3557.701942,-0.292458,2.7593,1.03135,0.11629,-0.16282,-0.04653,670.989797
50,ODISOM,-2282.379352,-0.193056,4.5089,2.02533,0.12488,-0.18279,-0.05791,533.158467
51,TUQMEZ,-3258.183772,-0.25607,5.0315,0.79951,0.08437,-0.15974,-0.07537,621.95051
52,TUJYIG,-1321.324972,-0.143767,3.0078,1.97421,0.13892,-0.16703,-0.02811,386.660152
53,LOFMAV,-1653.306666,-0.145982,3.7058,1.89897,0.11178,-0.15902,-0.04724,417.940257
