material_id,bulk_modulus
mp-10018,23.574
mp-862690,24.648
mp-861724,67.493
mp-862319,42.615
mp-862786,54.864
mp-861883,68.935
mp-867241,56.205
mp-861872,47.445
mp-865951,75.286
mp-866107,77.317
mp-866103,38.111
mp-862849,71.229
mp-11107,101.296
mp-862698,56.494
mp-983586,49.655
mp-864795,45.028
mp-866018,47.092
mp-985554,26.403
mp-985302,25.621
mp-972002,-190687.407
mp-866199,43.963
mp-862890,60.159
mp-862972,66.953
mp-862873,52.065
mp-862617,58.815
mp-867838,74.927
mp-27972,24.348
mp-867338,52.821
mp-861880,93.343
mp-27971,27.477
mp-30273,62.71
mp-864606,163.571
mp-985300,37.45
mp-985278,114.006
mp-867815,58.767
mp-24147,55.135
mp-861605,69.171
mp-862289,46.985
mp-861966,61.312
mp-861867,2.551
mp-862860,66.843
mp-985059,25.05
mp-866286,30.934
mp-984785,34.101
mp-865979,43.051
mp-866225,48.779
mp-861735,39.982
mp-866056,77.703
mp-36526,106.534
mp-867422,65.405
mp-865957,70.36
mp-865927,179.412
mp-865952,59.76
mp-984551,44.138
mp-865028,41.684
mp-979962,36.361
mp-866203,42.483
mp-979950,27.943
mp-124,87.692
mp-8566,88.449
mp-10597,90.122
mp-1103642,47.099
mp-23558,99.447
mp-4691,47.972
mp-1391,78.406
mp-555477,86.697
mp-23485,10.806000000000001
mp-570256,12.21
mp-29816,39.693
mp-9635,52.636
mp-353,68.793
mp-5495,84.084
mp-36216,27.991
mp-1537871,28.202
mp-2025704,9.903
mp-5625,48.044
mp-568936,56.451
mp-2022604,25.252
mp-16913,31.512
mp-1592,52.909
mp-32811,52.857
mp-4431,22.91
mp-34460,42.873
mp-985282,83.095
mp-17862,64.884
mp-985443,79.37
mp-27821,52.412
mp-4198,76.581
mp-985296,105.215
mp-12065,121.006
mp-2273,75.098
mp-5710,41.009
mp-22286,89.855
mp-559847,40.593
mp-37153,25.367
mp-984714,46.738
mp-4483,61.135
mp-863750,121.457
mp-985287,121.49
mp-996980,91.988
mp-996983,63.604
mp-776165,123.896
mp-35909,8.64
mp-996965,88.77
mp-29678,61.742
mp-556094,36.771
mp-27916,55.442
mp-33618,53.367
mp-29656,47.47
mp-23231,38.284
mp-866291,27.578
mp-753176,64.424
mp-22922,40.56
mp-775761,33.661
mp-22993,26.665
mp-7592,58.752
mp-2284,30.338
mp-643431,8.86
mp-861501,117.832
mp-22894,25.5
mp-22919,34.265
mp-22925,25.685
mp-567809,5.005
mp-996960,19.738
mp-552185,32.285
mp-2803876,102.564
mp-8200,63.049
mp-34418,25.022
